type,bom_ref,license-id,group,author,name,version,purl,path,description,vcs-url,vcs-comment,website-url,website-comment,issue-tracker-url,issue-tracker-comment,distribution-url,distribution-comment,hash-alg,hash-value,author-email,deprecated-status,deprecation-reason,timestamp
application,,,,,npm,10.9.2,,,,,,,,,,,,,,,,,
application,,Apache-2.0,@cyclonedx,Jan Kowalleck,cyclonedx-npm,3.0.0,,,Create CycloneDX Software Bill of Materials (SBOM) from NPM projects.,git+https://github.com/CycloneDX/cyclonedx-node-npm.git,"as detected from PackageJson property ""repository.url""",https://github.com/CycloneDX/cyclonedx-node-npm#readme,"as detected from PackageJson property ""homepage""",https://github.com/CycloneDX/cyclonedx-node-npm/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
library,,Apache-2.0,@cyclonedx,Jan Kowalleck,cyclonedx-library,8.4.0,,,Core functionality of CycloneDX for JavaScript (Node.js or WebBrowser).,git+https://github.com/CycloneDX/cyclonedx-javascript-library.git,"as detected from PackageJson property ""repository.url""",https://github.com/CycloneDX/cyclonedx-javascript-library#readme,"as detected from PackageJson property ""homepage""",https://github.com/CycloneDX/cyclonedx-javascript-library/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
application,@mojaloop/ml-core-test-harness@2.9.1,Apache-2.0,@mojaloop,,ml-core-test-harness,2.9.1,pkg:npm/%40mojaloop/ml-core-test-harness@2.9.1,,,,,,,,,,,,,,,,
library,standard-version@9.5.0,ISC,,Ben Coe,standard-version,9.5.0,pkg:npm/standard-version@9.5.0,node_modules/standard-version,replacement for `npm version` with automatic CHANGELOG generation,git+https://github.com/conventional-changelog/standard-version.git,"as detected from PackageJson property ""repository.url""",https://github.com/conventional-changelog/standard-version#readme,"as detected from PackageJson property ""homepage""",https://github.com/conventional-changelog/standard-version/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/standard-version/-/standard-version-9.5.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,df3589fe699942c39a3be7ce96c6b4f902bdd29c2135dd38daa11cc3a84a14da0b16cee9786caf3df7e91016cafc34863dbc8ebe58b4994205bf9038a938e1d9,ben@npmjs.com,active,Active in npm registory,2023-04-01T00:02:16.994Z
library,chalk@2.4.2,MIT,,,chalk,2.4.2,pkg:npm/chalk@2.4.2,node_modules/chalk,Terminal string styling done right,git+https://github.com/chalk/chalk.git,"as detected from PackageJson property ""repository.url""",https://github.com/chalk/chalk#readme,"as detected from PackageJson property ""homepage""",https://github.com/chalk/chalk/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/chalk/-/chalk-2.4.2.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,32d8be7fd96924d730178b5657cfcead34ed1758198be7fc16a97201da2eada95c156150585dbe3600874a18e409bf881412eaf5bb99c04d71724414e29792b9,,active,Active in npm registory,2024-12-21T17:04:53.207Z
library,ansi-styles@3.2.1,MIT,,Sindre Sorhus,ansi-styles,3.2.1,pkg:npm/ansi-styles@3.2.1,node_modules/ansi-styles,ANSI escape codes for styling strings in the terminal,git+https://github.com/chalk/ansi-styles.git,"as detected from PackageJson property ""repository.url""",https://github.com/chalk/ansi-styles#readme,"as detected from PackageJson property ""homepage""",https://github.com/chalk/ansi-styles/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/ansi-styles/-/ansi-styles-3.2.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,553d1923a91945d4e1f18c89c3748c6d89bfbbe36a7ec03112958ed0f7fdb2af3f7bde16c713a93cac7d151d459720ad3950cd390fbc9ed96a17189173eaf9a8,sindresorhus@gmail.com,active,Active in npm registory,2023-05-10T18:27:53.474Z
library,color-convert@1.9.3,MIT,,Heather Arthur,color-convert,1.9.3,pkg:npm/color-convert@1.9.3,node_modules/color-convert,Plain color conversion functions,git+https://github.com/Qix-/color-convert.git,"as detected from PackageJson property ""repository.url""",https://github.com/Qix-/color-convert#readme,"as detected from PackageJson property ""homepage""",https://github.com/Qix-/color-convert/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/color-convert/-/color-convert-1.9.3.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,41f014b5dfaf15d02d150702f020b262dd5f616c52a8088ad9c483eb30c1f0dddca6c10102f471a7dcce1a0e86fd21c7258013f3cfdacff22e0c600bb0d55b1a,fayearthur@gmail.com,active,Active in npm registory,2025-05-13T10:03:14.699Z
library,color-name@1.1.3,MIT,,DY,color-name,1.1.3,pkg:npm/color-name@1.1.3,node_modules/color-name,A list of color names and its values,git+ssh://git@github.com/dfcreative/color-name.git,"as detected from PackageJson property ""repository.url""",https://github.com/dfcreative/color-name,"as detected from PackageJson property ""homepage""",https://github.com/dfcreative/color-name/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/color-name/-/color-name-1.1.3.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,ef67d27a784cc361d931354778203d2829a91086f35a242c8cdf811dc05b4bdbebd66b6dfaf2633dd92c20135498a016f131540cf24ae52514dd0844f4d1170f,dfcreative@gmail.com,active,Active in npm registory,2023-03-08T01:43:51.822Z
library,escape-string-regexp@1.0.5,MIT,,Sindre Sorhus,escape-string-regexp,1.0.5,pkg:npm/escape-string-regexp@1.0.5,node_modules/escape-string-regexp,Escape RegExp special characters,git+https://github.com/sindresorhus/escape-string-regexp.git,"as detected from PackageJson property ""repository.url""",https://github.com/sindresorhus/escape-string-regexp#readme,"as detected from PackageJson property ""homepage""",https://github.com/sindresorhus/escape-string-regexp/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/escape-string-regexp/-/escape-string-regexp-1.0.5.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,bdb468ac1e455105af95ad7a53c47faa06852326b6a86cf00eb366099b982ab6dd494306e88d5908641179f911561b8e9081959deec1437e4349fa35aaf26a16,sindresorhus@gmail.com,active,Active in npm registory,2023-04-25T16:42:41.472Z
